id_denuncia,id_usuario,id_centro,fecha_denuncia,tipo_acoso,descripcion,estado,evidencias,fecha_resolucion
1,15,1,2025-01-27 13:51:27,físico,Denuncia de tipo físico generada para pruebas #1,rechazada,https://ejemplo.com/evidencia/c3916718-c95b-427d-9b08-314bf6c775d4.jpg,2025-03-09 12:59:27
2,25,1,2024-11-13 16:17:27,social,Denuncia de tipo social generada para pruebas #2,pendiente,https://ejemplo.com/evidencia/eaa0e904-7294-482e-8f2d-653b21700be5.jpg,
3,26,1,2024-12-31 02:24:27,verbal,Denuncia de tipo verbal generada para pruebas #3,resuelta,,2025-03-12 05:15:27
4,6,1,2024-12-19 17:52:27,ciberbullying,Denuncia de tipo ciberbullying generada para pruebas #4,resuelta,https://ejemplo.com/evidencia/f782a08e-21ce-4e36-9a38-cb578ad2f8d9.jpg,2025-03-06 00:56:27
5,3,1,2025-03-03 16:50:27,social,Denuncia de tipo social generada para pruebas #5,resuelta,https://ejemplo.com/evidencia/7c9d46b8-9e94-4db9-bb00-9bf6d96a7004.jpg,2025-04-07 00:59:27
6,2,1,2024-12-23 03:35:27,social,Denuncia de tipo social generada para pruebas #6,en_progreso,https://ejemplo.com/evidencia/c2dfe5f4-e9b8-4af1-8f8c-4d0725c7b908.jpg,
7,18,1,2025-03-09 22:51:27,otros,Denuncia de tipo otros generada para pruebas #7,resuelta,https://ejemplo.com/evidencia/cf057069-596b-4924-8561-a6f81e74e1aa.jpg,2025-04-02 01:16:27
8,12,1,2025-02-08 10:11:27,otros,Denuncia de tipo otros generada para pruebas #8,en_progreso,https://ejemplo.com/evidencia/85bef340-31bf-499a-a605-fa9b99e49e80.jpg,
9,14,1,2024-11-12 08:58:27,físico,Denuncia de tipo físico generada para pruebas #9,pendiente,,
10,25,1,2024-10-25 23:35:27,psicológico,Denuncia de tipo psicológico generada para pruebas #10,pendiente,https://ejemplo.com/evidencia/28ce671c-b693-4fde-9b1a-c1f182ca52a1.jpg,
11,21,1,2025-02-02 16:35:27,otros,Denuncia de tipo otros generada para pruebas #11,resuelta,https://ejemplo.com/evidencia/f86f91b6-b5a4-4dff-92e6-7ada7c98b409.jpg,2025-04-22 05:25:27
12,8,1,2025-02-27 11:46:27,físico,Denuncia de tipo físico generada para pruebas #12,pendiente,,
13,12,1,2025-02-13 21:14:27,social,Denuncia de tipo social generada para pruebas #13,pendiente,https://ejemplo.com/evidencia/70026d59-9231-4367-8bb7-cd0e4723dbcd.jpg,
14,2,1,2024-12-02 17:24:27,físico,Denuncia de tipo físico generada para pruebas #14,en_progreso,https://ejemplo.com/evidencia/1fcc94db-eecd-4961-9674-b1af1a20816e.jpg,
15,12,1,2025-03-15 03:42:27,verbal,Denuncia de tipo verbal generada para pruebas #15,pendiente,https://ejemplo.com/evidencia/5456efff-67d1-4eba-9dd8-9ee285a890c1.jpg,
16,6,1,2025-01-03 02:45:27,psicológico,Denuncia de tipo psicológico generada para pruebas #16,resuelta,https://ejemplo.com/evidencia/8c35f443-0da3-4a89-b777-26a1249fe2e1.jpg,2025-01-29 17:58:27
17,7,1,2024-10-25 16:40:27,verbal,Denuncia de tipo verbal generada para pruebas #17,en_progreso,https://ejemplo.com/evidencia/f3fb4eec-bf8d-4b2e-bdb3-3d92a6d1a3ad.jpg,
18,24,1,2024-12-04 18:08:27,social,Denuncia de tipo social generada para pruebas #18,pendiente,,
19,19,1,2025-02-14 04:04:27,verbal,Denuncia de tipo verbal generada para pruebas #19,en_progreso,https://ejemplo.com/evidencia/3219e036-ec3a-4b74-ba76-37cfad8d20ad.jpg,
20,27,1,2025-02-15 10:52:27,otros,Denuncia de tipo otros generada para pruebas #20,pendiente,,
21,21,1,2025-03-05 12:32:27,otros,Denuncia de tipo otros generada para pruebas #21,en_progreso,https://ejemplo.com/evidencia/08b71c1f-5b1e-4e9a-beaf-77510ca78eda.jpg,
22,9,1,2025-03-16 07:34:27,ciberbullying,Denuncia de tipo ciberbullying generada para pruebas #22,resuelta,https://ejemplo.com/evidencia/e49c957f-5202-4e89-995a-bf03dbb050fc.jpg,2025-03-23 03:00:27
23,7,1,2025-01-17 12:05:27,verbal,Denuncia de tipo verbal generada para pruebas #23,rechazada,,2025-02-11 01:38:27
24,1,1,2024-11-21 03:15:27,físico,Denuncia de tipo físico generada para pruebas #24,resuelta,https://ejemplo.com/evidencia/fa430a0e-3ba8-4f72-990e-166f61ac625b.jpg,2025-01-05 08:06:27
25,9,1,2025-01-14 00:44:27,social,Denuncia de tipo social generada para pruebas #25,pendiente,,
26,27,1,2025-02-25 09:33:27,ciberbullying,Denuncia de tipo ciberbullying generada para pruebas #26,resuelta,https://ejemplo.com/evidencia/4561c4ab-7882-4b30-a78a-3e22bb11033f.jpg,2025-03-30 08:08:27
27,26,1,2025-02-22 15:07:27,físico,Denuncia de tipo físico generada para pruebas #27,rechazada,,2025-04-10 07:49:27
28,1,1,2025-03-17 00:53:27,físico,Denuncia de tipo físico generada para pruebas #28,resuelta,,2025-04-10 20:44:27
29,3,1,2025-02-16 13:00:27,otros,Denuncia de tipo otros generada para pruebas #29,rechazada,,2025-03-03 19:17:27
30,18,1,2025-03-26 05:23:27,otros,Denuncia de tipo otros generada para pruebas #30,resuelta,https://ejemplo.com/evidencia/b8e9c1a9-ed5a-46ed-a91f-67bfd3a12529.jpg,2025-04-02 15:34:27
31,21,1,2024-11-11 13:06:27,psicológico,Denuncia de tipo psicológico generada para pruebas #31,en_progreso,https://ejemplo.com/evidencia/c379b24b-ef42-44d2-bbea-322347fd9c43.jpg,
32,19,1,2025-01-04 08:24:27,verbal,Denuncia de tipo verbal generada para pruebas #32,resuelta,https://ejemplo.com/evidencia/1c245b8c-b179-4eea-ac05-4908163bcfce.jpg,2025-01-27 06:51:27
33,5,1,2025-03-05 14:03:27,verbal,Denuncia de tipo verbal generada para pruebas #33,pendiente,,
34,12,1,2024-11-20 17:35:27,ciberbullying,Denuncia de tipo ciberbullying generada para pruebas #34,resuelta,,2025-02-16 06:34:27
35,8,1,2025-03-26 15:40:27,otros,Denuncia de tipo otros generada para pruebas #35,pendiente,,
36,20,1,2024-11-04 00:11:27,verbal,Denuncia de tipo verbal generada para pruebas #36,pendiente,,
37,5,1,2024-11-21 19:57:27,ciberbullying,Denuncia de tipo ciberbullying generada para pruebas #37,rechazada,https://ejemplo.com/evidencia/a604fb1f-ee6f-48df-9be5-7f0fe3946544.jpg,2025-03-26 19:27:27
38,18,1,2025-04-17 02:19:27,otros,Denuncia de tipo otros generada para pruebas #38,resuelta,https://ejemplo.com/evidencia/a65bb313-64e8-4ebe-8c7e-08eb5763dfa1.jpg,2025-04-20 05:52:27
39,3,1,2024-11-11 23:23:27,otros,Denuncia de tipo otros generada para pruebas #39,rechazada,https://ejemplo.com/evidencia/e818ffc0-80e6-409c-9014-ba7c3a1dec16.jpg,2025-02-17 08:39:27
